USERNAME MOBILE;TYPE SALESMAN ;KODE SALESMAN;ID
babat2;MIX GT;SF-UDN023-017;BABAT2
babat3;MIX GT;SF-UDN023-027;BABAT3
bali1;EXCLUSIVE MT;SF-DST020-GLC01;BALI1
bali2;EXCLUSIVE MT-GT;SF-DST020-GLC03;BALI2
bali3;EXCLUSIVE MT;SF-DST020-GLC02;BALI3
bali4;EXCLUSIVE MT-GT;SF-DST020-GLC09;BALI4
bali5;MIX GT;SF-DST020-GLC08;BALI5
bali6;TIDAK AKTIF;TIDAK AKTIF;BALI6
banyuwangi1;TIDAK AKTIF;TIDAK AKTIF;BANYUWANGI1
banyuwangi2;TIDAK AKTIF;TIDAK AKTIF;BANYUWANGI2
banyuwangi3;TIDAK AKTIF;TIDAK AKTIF;BANYUWANGI3
jember1;TIDAK AKTIF;TIDAK AKTIF;JEMBER1
jember2;EXCLUSIVE MT-GT;SF-UDN013-SLS0130055;JEMBER2
jember3;TIDAK AKTIF;TIDAK AKTIF;JEMBER3
jember4;EXCLUSIVE MT-GT;SF-UDN013-031;JEMBER4
kediri1;EXCLUSIVE MT-GT;SF-UDN017-026;KEDIRI1
kediri2;EXCLUSIVE MT-GT;SF-UDN017-018;KEDIRI2
kediri3;TIDAK AKTIF;TIDAK AKTIF;KEDIRI3
kediri4;EXCLUSIVE MT-GT;SF-UDN017-016;KEDIRI4
lombok1;EXCLUSIVE MT-GT;SF-DD029-164;LOMBOK1
lombok2;EXCLUSIVE MT-GT;SF-DD029-770;LOMBOK2
lombok3;TIDAK AKTIF;TIDAK AKTIF;LOMBOK3
lombok4;TIDAK AKTIF;TIDAK AKTIF;LOMBOK4
lombok5;MIX GT;SF-DD029-L171;LOMBOK5
madiun1;MIX GT;SF-UDN014-008;MADIUN1
madiun2;TIDAK AKTIF;TIDAK AKTIF;MADIUN2
madura1;EXCLUSIVE MT-GT;SF-UDN016-007;MADURA1
madura2;TIDAK AKTIF;TIDAK AKTIF;MADURA2
malang1;TIDAK AKTIF;TIDAK AKTIF;MALANG1
malang2;TIDAK AKTIF;TIDAK AKTIF;MALANG2
malang3;MIX GT;SF-UDN012-SLS0120031;MALANG3
malang4;MIX GT;SF-UDN012-SLS0120016;MALANG4
pasuruan1;EXCLUSIVE MT-GT;SF-UDN020-006;PASURUAN1
pasuruan2;MIX GT;#N/A;PASURUAN2
ponorogo1;EXCLUSIVE MT-GT;SF-UDN027-011;PONOROGO1
ponorogo2;MIX GT;SF-UDN027-013;PONOROGO2
ponorogo3;EXCLUSIVE MT-GT;SF-UDN027-010;PONOROGO3
probolinggo1;MIX GT;SF-UDN026-SLS0260019;PROBOLINGGO1
probolinggo2;EXCLUSIVE MT-GT;SF-UDN026-019;PROBOLINGGO2
sidoarjo1;MIX GT;SF-UDN021-026;SIDOARJO1
sidoarjo2;EXCLUSIVE MT-GT;SF-UDN021-010;SIDOARJO2
sidoarjo3;EXCLUSIVE MT-GT;SF-UDN021-006;SIDOARJO3
sidoarjo4;EXCLUSIVE MT-GT;#N/A;SIDOARJO4
sidoarjo5;MIX GT;#N/A;SIDOARJO5
singosari1;MIX GT;SF-UDN024-SLS0240023;SINGOSARI1
