USERNAME MOBILE;TYPE SALESMAN ;KODE SALESMAN;ID
jakartatimur17;TIDAK AKTIF;TIDAK AKTIF;JAKARTATIMUR17
jakartatimur18;TIDAK AKTIF;TIDAK AKTIF;JAKARTATIMUR18
sukabumi4;MIX GT;SF-SDNSKB-522;SUKABUMI4
bekasi6;TIDAK AKTIF;TIDAK AKTIF;BEKASI6
pekanbaru17;EXCLUSIVE GT;SF-PKU001-222;PEKANBARU17
cianjur3;EXCLUSIVE GT;SF-SDNCJR-480;CIANJUR3
banjarmasin5;MIX GT;SF-SJA-01-SSJ-00004;BANJARMASIN5
banjarmasin6;MIX GT;SF-SJA-01-SSJ-00005;BANJARMASIN6
barabai4;MIX GT;SF-SJA-03-SSJ-00019;BARABAI4
barabai5;MIX GT;SF-SJA-03-SSJ-00086;BARABAI5
tanjung1;MIX GT;SF-SJA-04-SSJ-00134;TANJUNG1
medan19;TIDAK AKTIF;TIDAK AKTIF;MEDAN19
lenteng8;EXCLUSIVE MT;SF-MJP01JK1-SLM023;LENTENG8
kendari1;MIX GT;SF-P-09-NFRN;KENDARI1
ketapang2;MIX GT;SF-SSJ-04-00011;KETAPANG2
singkawang2;MIX GT;SF-SSJ-02-00007;SINGKAWANG2
jakartatimur19;TIDAK AKTIF;TIDAK AKTIF;JAKARTATIMUR19
tasikmalaya5;EXCLUSIVE MT-GT;SF-SDNTSK-397;TASIKMALAYA5
solo9;TIDAK AKTIF;TIDAK AKTIF;SOLO9
taman2;TIDAK AKTIF;TIDAK AKTIF;TAMAN2
bekasi7;TIDAK AKTIF;TIDAK AKTIF;BEKASI7
purwokerto18;MIX GT;SF-IAI006-GIN;PURWOKERTO18
palembang7;TIDAK AKTIF;TIDAK AKTIF;PALEMBANG7
lenteng9;TIDAK AKTIF;TIDAK AKTIF;LENTENG9
tgrpskemis4;TIDAK AKTIF;TIDAK AKTIF;TGRPSKEMIS4
tgrpskemis5;TIDAK AKTIF;TIDAK AKTIF;TGRPSKEMIS5
kamal8;MIX GT;SF-MJP01JK2-SLM015;KAMAL8
serang7;EXCLUSIVE GT;SF-MJP02SRG-SLM010;SERANG7
rangkasbitung6;TIDAK AKTIF;TIDAK AKTIF;RANGKASBITUNG6
pondokaren5;TIDAK AKTIF;TIDAK AKTIF;PONDOKAREN5
karawang6;EXCLUSIVE GT;SF-KIS-305;KARAWANG6
jakartatimur20;TIDAK AKTIF;TIDAK AKTIF;JAKARTATIMUR20
jakartatimur21;TIDAK AKTIF;TIDAK AKTIF;JAKARTATIMUR21
samarinda6;TIDAK AKTIF;TIDAK AKTIF;SAMARINDA6
samarinda7;MIX GT;SF-LTA-01-13048056;SAMARINDA7
samarinda8;MIX GT;SF-LTA-01-13061001;SAMARINDA8
samarinda9;TIDAK AKTIF;TIDAK AKTIF;SAMARINDA9
medan20;TIDAK AKTIF;TIDAK AKTIF;MEDAN20
rangkasbitung7;TIDAK AKTIF;TIDAK AKTIF;RANGKASBITUNG7
banyuwangi4;EXCLUSIVE MT-GT;SF-UDN015-016;BANYUWANGI4
probolinggo4;TIDAK AKTIF;TIDAK AKTIF;PROBOLINGGO4
pasuruan3;MIX GT;SF-UDN020-SLS0200018;PASURUAN3
tanahkaro1;TIDAK AKTIF;TIDAK AKTIF;TANAHKARO1
tanahkaro2;MIX GT;SF-ITK012-3284;TANAHKARO2
tgrpskemis6;MIX GT;SF-MJP03TGRII-SLM005;TGRPSKEMIS6
bukittinggi1;EXCLUSIVE MT;SF-TSP030-R005;BUKITTINGGI1
padang1;EXCLUSIVE MT-GT;SF-TSP030-M004;PADANG1
padang2;EXCLUSIVE GT;SF-TSP030-Z013;PADANG2
padang3;EXCLUSIVE MT;SF-TSP030-F001;PADANG3
batam1;MIX GT;M-00078;BATAM1
batam2;EXCLUSIVE MT-GT;SF-SRJ017-M-00064;BATAM2
kendari4;EXCLUSIVE MT-GT;SF-P-09-NDVT;KENDARI4
makassar1;EXCLUSIVE GT;SF-P-01-ARSD;MAKASSAR1
makassar2;EXCLUSIVE GT;SF-P-01-ASYM;MAKASSAR2
makassar3;TIDAK AKTIF;TIDAK AKTIF;MAKASSAR3
makassar4;EXCLUSIVE MT;SF-P-01-AAKR;MAKASSAR4
bangka1;EXCLUSIVE MT;SF-IBP018-DW1;BANGKA1
bukittinggi2;MIX GT;SF-TSP030-C2;BUKITTINGGI2
batam3;MIX GT;M-00042;BATAM3
bone1;TIDAK AKTIF;TIDAK AKTIF;BONE1
kendari2;MIX GT;SF-P-09-OHND;KENDARI2
kendari3;MIX GT;SF-P-09-PSYF;KENDARI3
palopo1;MIX GT;SF-P-03-CNRS;PALOPO1
parepare1;MIX GT;SF-P-04-DFRY;PAREPARE1
wonomulyo1;TIDAK AKTIF;TIDAK AKTIF;WONOMULYO1
banjarmasin7;TIDAK AKTIF;TIDAK AKTIF;BANJARMASIN7
bangka2;MIX GT;SF-IBP018-L01;BANGKA2
bangka3;MIX GT;SF-IBP018-HLB;BANGKA3
bogor9;TIDAK AKTIF;TIDAK AKTIF;BOGOR9
depok4;EXCLUSIVE GT;SF-IPSD-0601TO008;DEPOK4
madura3;TIDAK AKTIF;TIDAK AKTIF;MADURA3
madura4;EXCLUSIVE MT-GT;SF-UDN016-012;MADURA4
lampung5;EXCLUSIVE GT;SF-CLTM021-10.151.20;LAMPUNG5
lampung6;TIDAK AKTIF;TIDAK AKTIF;LAMPUNG6
bali7;MIX GT;SF-DST020-GLC05;BALI7
bali8;EXCLUSIVE MT-GT;SF-DST020-GLC04;BALI8
banjarmasin8;MIX GT;#N/A;BANJARMASIN8
batulicin3;MIX GT;SF-SJA-04-SSJ-00101;BATULICIN3
balikpapan8;TIDAK AKTIF;TIDAK AKTIF;BALIKPAPAN8
jember5;EXCLUSIVE MT-GT;SF-UDN013-034;JEMBER5
pekanbaru18;TIDAK AKTIF;TIDAK AKTIF;PEKANBARU18
kediri5;TIDAK AKTIF;TIDAK AKTIF;KEDIRI5
lombok6;TIDAK AKTIF;TIDAK AKTIF;LOMBOK6
balikpapan9;EXCLUSIVE GT;SF-LTA-02-11096116;BALIKPAPAN9
lenteng10;TIDAK AKTIF;TIDAK AKTIF;LENTENG10
batulicin4;TIDAK AKTIF;TIDAK AKTIF;BATULICIN4
singosari4;EXCLUSIVE MT-GT;SF-UDN024-005;SINGOSARI4
probolinggo5;TIDAK AKTIF;TIDAK AKTIF;PROBOLINGGO5
solo10;EXCLUSIVE GT;SF-CVM005-WIJ;SOLO10
samarinda10;MIX GT;SF-LTA-01-13048055;SAMARINDA10
bontang4;MIX GT;SF-LTA-04-13020004;BONTANG4
sidoarjo6;TIDAK AKTIF;TIDAK AKTIF;SIDOARJO6
batulicin5;MIX GT;SF-SJA-02-SSJ-00033;BATULICIN5
padang4;TIDAK AKTIF;TIDAK AKTIF;PADANG4
lampung7;TIDAK AKTIF;TIDAK AKTIF;LAMPUNG7
lampung8;TIDAK AKTIF;TIDAK AKTIF;LAMPUNG8
lampung9;TIDAK AKTIF;TIDAK AKTIF;LAMPUNG9
cianjur4;TIDAK AKTIF;TIDAK AKTIF;CIANJUR4
purwokerto19;EXCLUSIVE MT-GT;SF-IAI006-KIT;PURWOKERTO19
bogor10;EXCLUSIVE MT;SF-IPSB-0201TO083;BOGOR10
balikpapan10;TIDAK AKTIF;TIDAK AKTIF;BALIKPAPAN10
tangerang1;TIDAK AKTIF;TIDAK AKTIF;TANGERANG1
tangerang2;TIDAK AKTIF;TIDAK AKTIF;TANGERANG2
sumedang3;EXCLUSIVE MT-GT;SF-SDNSMD-245;SUMEDANG3
palembang8;TIDAK AKTIF;TIDAK AKTIF;PALEMBANG8
bandungbarat3;TIDAK AKTIF;TIDAK AKTIF;BANDUNGBARAT3
pontianak7;EXCLUSIVE MT-GT;SF-SSJ-01-00019;PONTIANAK7
purwokerto20;TIDAK AKTIF;TIDAK AKTIF;PURWOKERTO20
pekanbaru19;TIDAK AKTIF;TIDAK AKTIF;PEKANBARU19
lampung10;TIDAK AKTIF;TIDAK AKTIF;LAMPUNG10
bogor11;TIDAK AKTIF;TIDAK AKTIF;BOGOR11
tgrlegok8;MIX GT;SF-MJP03-SLM012;TGRLEGOK8
kualakapuas1;TIDAK AKTIF;TIDAK AKTIF;KUALAKAPUAS1
kualakapuas2;TIDAK AKTIF;TIDAK AKTIF;KUALAKAPUAS2
pekanbaru20;TIDAK AKTIF;TIDAK AKTIF;PEKANBARU20
malang6;TIDAK AKTIF;TIDAK AKTIF;MALANG6
malang7;MIX GT;SF-UDN012-SLS0120035;MALANG7
ketapang3;MIX GT;SF-SSJ-04-00020;KETAPANG3
semarang23;TIDAK AKTIF;TIDAK AKTIF;SEMARANG23
probolinggo6;TIDAK AKTIF;TIDAK AKTIF;PROBOLINGGO6
probolinggo7;TIDAK AKTIF;TIDAK AKTIF;PROBOLINGGO7
probolinggo8;MIX GT;SF-UDN026-SLS0260027;PROBOLINGGO8
tulungagung6;TIDAK AKTIF;TIDAK AKTIF;TULUNGAGUNG6
semarang24;TIDAK AKTIF;TIDAK AKTIF;SEMARANG24
kediri6;MIX GT;SF-UDN017-025;KEDIRI6
kamal9;TIDAK AKTIF;TIDAK AKTIF;KAMAL9
jakartatimur22;EXCLUSIVE GT;SF-DAS-0304TO064;JAKARTATIMUR22
jakartatimur23;EXCLUSIVE GT;SF-DAS-0304TO084;JAKARTATIMUR23
jakartatimur24;TIDAK AKTIF;TIDAK AKTIF;JAKARTATIMUR24
jakartatimur25;EXCLUSIVE GT;SF-DAS-0304TO109;JAKARTATIMUR25
jakartatimur26;TIDAK AKTIF;TIDAK AKTIF;JAKARTATIMUR26
jakartatimur27;EXCLUSIVE GT;SF-DAS-0304TO110;JAKARTATIMUR27
jakartatimur28;TIDAK AKTIF;TIDAK AKTIF;JAKARTATIMUR28
jakartatimur29;EXCLUSIVE GT;SF-DAS-0304TO089;JAKARTATIMUR29
padang5;MIX GT;SF-TSP030-H006;PADANG5
subang4;TIDAK AKTIF;TIDAK AKTIF;SUBANG4
medan21;TIDAK AKTIF;TIDAK AKTIF;MEDAN21
tanahkaro3;MIX GT;SF-ITK012-TK02;TANAHKARO3
sidoarjo7;EXCLUSIVE MT-GT;#N/A;SIDOARJO7
padang6;EXCLUSIVE GT;SF-TSP030-B012;PADANG6
sukabumi5;EXCLUSIVE GT;SF-SDNSKB-566;SUKABUMI5
medan22;EXCLUSIVE GT;SF-ITK012-23;MEDAN22
subang7;TIDAK AKTIF;TIDAK AKTIF;SUBANG7
semarang25;TIDAK AKTIF;TIDAK AKTIF;SEMARANG25
pekanbaru21;EXCLUSIVE MT-GT;SF-PKU001-483;PEKANBARU21
madura5;MIX GT;SF-UDN016-013;MADURA5
babat4;MIX GT;SF-UDN023-027;BABAT4
surabaya7;TIDAK AKTIF;TIDAK AKTIF;SURABAYA7
sibolga2;TIDAK AKTIF;TIDAK AKTIF;SIBOLGA2
psidempuan3;MIX GT;SF-ITK012-P04;PSIDEMPUAN3
psidempuan4;MIX GT;SF-ITK012-P05;PSIDEMPUAN4
madium3;TIDAK AKTIF;TIDAK AKTIF;MADIUM3
tgrpskemis8;TIDAK AKTIF;TIDAK AKTIF;TGRPSKEMIS8
pasuruan4;MIX GT;SF-UDN020-004;PASURUAN4
bekasi8;TIDAK AKTIF;TIDAK AKTIF;BEKASI8
tulungagung8;TIDAK AKTIF;TIDAK AKTIF;TULUNGAGUNG8
medan23;MIX GT;SF-ITK012-25;MEDAN23
purwakarta3;TIDAK AKTIF;TIDAK AKTIF;PURWAKARTA3
bandung8;EXCLUSIVE GT;SF-SDNBDG-J33;BANDUNG8
lombok7;MIX GT;SF-DD029-L182;LOMBOK7
lombok8;MIX GT;SF-DD029-686;LOMBOK8
serang8;EXCLUSIVE MT;SF-MJP02SRG-SLM002;SERANG8
pekanbaru22;MIX GT;SF-PKU001-486;PEKANBARU22
bekasi9;TIDAK AKTIF;TIDAK AKTIF;BEKASI9
rangkasbitung8;TIDAK AKTIF;TIDAK AKTIF;RANGKASBITUNG8
serang9;EXCLUSIVE GT;SF-MJP02SRG-SLM001;SERANG9
bogor12;TIDAK AKTIF;TIDAK AKTIF;BOGOR12
rangkasbitung9;TIDAK AKTIF;TIDAK AKTIF;RANGKASBITUNG9
jakartatimur30;EXCLUSIVE GT;SF-DAS-0304TO064;JAKARTATIMUR30
jakartatimur31;EXCLUSIVE GT;SF-DAS-0304TO066;JAKARTATIMUR31
kamal10;EXCLUSIVE GT;SF-MJP01JK2-SLM036;KAMAL10
kamal11;EXCLUSIVE GT;SF-MJP01JK2-SLM033;KAMAL11
lenteng11;EXCLUSIVE GT;SF-MJP01JK1-SLM036;LENTENG11
lenteng12;TIDAK AKTIF;TIDAK AKTIF;LENTENG12
lenteng13;TIDAK AKTIF;TIDAK AKTIF;LENTENG13
solo11;MIX GT;SF-CVM005-RNO;SOLO11
medan24;TIDAK AKTIF;TIDAK AKTIF;MEDAN24
rantauprapat3;MIX GT;SF-ITK012-RPR2;RANTAUPRAPAT3
banjarmasin9;MIX GT;#N/A;BANJARMASIN9
batam4;MIX GT;SF-SRJ017-M-00048;BATAM4
balikpapan11;MIX GT;SF-LTA-02-11003010;BALIKPAPAN11
tgrpskemis9;TIDAK AKTIF;TIDAK AKTIF;TGRPSKEMIS9
tgrlegok9;EXCLUSIVE GT;SF-MJP03-SLM047;TGRLEGOK9
tgrlegok10;EXCLUSIVE MT;SF-MJP03-SLM005;TGRLEGOK10
lenteng14;TIDAK AKTIF;TIDAK AKTIF;LENTENG14
purwakarta4;EXCLUSIVE MT-GT;SF-SDNPWK-321;PURWAKARTA4
bogor13;EXCLUSIVE GT;SF-IPSB-0901TO041;BOGOR13
cianjur5;TIDAK AKTIF;TIDAK AKTIF;CIANJUR5
tarakan2;MIX GT;SF-LTA-03-15049004;TARAKAN2
subang8;TIDAK AKTIF;TIDAK AKTIF;SUBANG8
samarinda11;MIX GT;SF-LTA-01-13060012;SAMARINDA11
samarinda12;MIX GT;SF-LTA-01-13050013;SAMARINDA12
samarinda13;MIX GT;SF-LTA-01-13060022;SAMARINDA13
jakartatimur32;TIDAK AKTIF;TIDAK AKTIF;JAKARTATIMUR32
surabaya8;EXCLUSIVE MT-GT;SF-UDN011-032;SURABAYA8
surabaya9;EXCLUSIVE MT-GT;SF-UDN011-022;SURABAYA9
taman3;EXCLUSIVE MT;SF-UDN028-021;TAMAN3
tgrpskemis10;TIDAK AKTIF;TIDAK AKTIF;TGRPSKEMIS10
batam5;EXCLUSIVE MT-GT;SF-SRJ017-M-00053;BATAM5
rangkasbitung10;TIDAK AKTIF;TIDAK AKTIF;RANGKASBITUNG10
rangkasbitung11;MIX GT;SF-MJP02RKB-SLM001;RANGKASBITUNG11
ponorogo5;EXCLUSIVE MT-GT;SF-UDN027-016;PONOROGO5
semarang26;MIX GT;SF-IAI006-NAV;SEMARANG26
semarang27;TIDAK AKTIF;TIDAK AKTIF;SEMARANG27
batam6;MIX GT;M-00063;BATAM6
bandung9;EXCLUSIVE GT;SF-SDNBDG-J50;BANDUNG9
banjarmasin10;EXCLUSIVE GT;#N/A;BANJARMASIN10
bandungbarat4;EXCLUSIVE GT;SF-SDNBDB-710;BANDUNGBARAT4
lenteng15;EXCLUSIVE GT;SF-MJP01JK1-SLM037;LENTENG15
sidoarjo8;EXCLUSIVE MT-GT;#N/A;SIDOARJO8
sidoarjo9;MIX GT;SF-UDN021-SLS0210047;SIDOARJO9
semarang28;MIX GT;SF-IAI006-DNN;SEMARANG28
lampung11;TIDAK AKTIF;TIDAK AKTIF;LAMPUNG11
psidempuan5;MIX GT;SF-ITK012-P04;PSIDEMPUAN5
madiun4;TIDAK AKTIF;TIDAK AKTIF;MADIUN4
cianjur6;EXCLUSIVE GT;SF-SDNCJR-486;CIANJUR6
pekanbaru23;MIX GT;SF-PKU001-139;PEKANBARU23
medan25;EXCLUSIVE GT;SF-ITK012-44;MEDAN25
subang9;EXCLUSIVE MT-GT;SF-SDNSBG-432;SUBANG9
jakartatimur33;EXCLUSIVE GT;SF-DAS-0304TO065;JAKARTATIMUR33
kualakapuas3;TIDAK AKTIF;TIDAK AKTIF;KUALAKAPUAS3
kualakapuas4;TIDAK AKTIF;TIDAK AKTIF;KUALAKAPUAS4
samarinda14;MIX GT;SF-LTA-01-13003006;SAMARINDA14
purwokerto21;EXCLUSIVE MT-GT;SF-IAI006-IRN;PURWOKERTO21
purwokerto22;MIX GT;SF-IAI006-MAN;PURWOKERTO22
banjarmasin11;EXCLUSIVE GT;SF-SJA-01-SSJ-00003;BANJARMASIN11
pekanbaru24;TIDAK AKTIF;TIDAK AKTIF;PEKANBARU24
bogor14;EXCLUSIVE GT;SF-IPSB-0201TO087;BOGOR14
bekasi10;EXCLUSIVE GT;SF-SDBKS-569;BEKASI10
tulungagung9;TIDAK AKTIF;TIDAK AKTIF;TULUNGAGUNG9
medan26;TIDAK AKTIF;TIDAK AKTIF;MEDAN26
bogor15;EXCLUSIVE GT;SF-IPSB-0201TO086;BOGOR15
jatibarang3;MIX GT;SF-SDNJTB-599;JATIBARANG3
bekasi11;EXCLUSIVE MT;SF-SDBKS-508;BEKASI11
makassar5;EXCLUSIVE MT;SF-P-01-ADML;MAKASSAR5
medan27;EXCLUSIVE GT;SF-ITK012-73;MEDAN27
pasuruan5;MIX GT;#N/A;PASURUAN5
lombok10;MIX GT;SF-DD029-B191;LOMBOK10
yogyakarta20;MIX GT;SF-CVM005-SHA;YOGYAKARTA20
lombok11;TIDAK AKTIF;TIDAK AKTIF;LOMBOK11
bekasi12;TIDAK AKTIF;TIDAK AKTIF;BEKASI12
semarang29;EXCLUSIVE MT;SF-IAI006-NVT;SEMARANG29
balikpapan12;TIDAK AKTIF;TIDAK AKTIF;BALIKPAPAN12
bukittinggi3;MIX GT;SF-TSP030-C1;BUKITTINGGI3
batulicin6;MIX GT;SF-SJA-02-SSJ-00032;BATULICIN6
solo12;TIDAK AKTIF;TIDAK AKTIF;SOLO12
lampung12;TIDAK AKTIF;TIDAK AKTIF;LAMPUNG12
bekasi13;EXCLUSIVE GT;SF-SDBKS-542;BEKASI13
jatibarang4;MIX GT;SF-SDNJTB-677;JATIBARANG4
lampung13;MIX GT;SF-CLTM021-10.206.24;LAMPUNG13
semarang30;EXCLUSIVE MT-GT;SF-IAI006-ILH;SEMARANG30
probolinggo9;TIDAK AKTIF;TIDAK AKTIF;PROBOLINGGO9
testuser;TIDAK AKTIF;TIDAK AKTIF;TESTUSER
solo13;MIX GT;SF-CVM005-PTI;SOLO13
sidoarjo10;MIX GT;SF-UDN021-025;SIDOARJO10
muba2;EXCLUSIVE GT;SF-AA016-SALES MIX BISCUIT;MUBA2
banyuwangi5;TIDAK AKTIF;TIDAK AKTIF;BANYUWANGI5
jambi7;MIX GT;SF-HM014-BUNGO 3;JAMBI7
jambi8;MIX GT;SF-HM014-BUNGO 6;JAMBI8
singkawang3;MIX GT;SF-SSJ-02-00026;SINGKAWANG3
palangkaraya3;MIX GT;SF-BC-02-BHG1799;PALANGKARAYA3
sampit3;MIX GT;SF-BC-03-BHG3187;SAMPIT3
ambon1;MIX GT;SF-KA-01-A0022;AMBON1
ambon2;EXCLUSIVE MT;SF-KA-01-M0011;AMBON2
ambon3;MIX GT;SF-KA-01-R0009;AMBON3
ambon4;TIDAK AKTIF;TIDAK AKTIF;AMBON4
test_salesman;TIDAK AKTIF;TIDAK AKTIF;TEST_SALESMAN
tanjungpinang1;EXCLUSIVE MT-GT;SF-SRJ017-SL0014;TANJUNGPINANG1
lubukpakam1;TIDAK AKTIF;TIDAK AKTIF;LUBUKPAKAM1
sorong1;MIX GT;SF-IJS-01-00001;SORONG1
sorong2;MIX GT;SF-IJS-01-SLS007;SORONG2
sorong3;EXCLUSIVE MT-GT;SF-IJS-01-00017;SORONG3
bangka4;MIX GT;SF-IBP018-WT01;BANGKA4
bangka5;MIX GT;SF-IBP018-PRS;BANGKA5
sukabumi6;MIX GT;SF-SDNSKB-479;SUKABUMI6
baganbatu1;MIX GT;SF-PKU001-458;BAGANBATU1
