NAMA SALESMAN;USERNAME VIRTUSEE;STORE NAME;REFFERENCE CODE;STORE CODE;SPV GLICO;REGION;DISTRIBUTOR;DEPO;ACTUAL TVP;
MIX 1 PRT - BEBEN ;rangkasbitung1;UTAMA PLASTIK;MJP02RKBUTAM0002;UTAM0002;ANGGA SANJAYA;JABODETABEK 2;PT MITRA JAYA PERSADA;RANGKASBITUNG;;
MIX 1 PRT - BEBEN ;rangkasbitung1;WIN ( METRO );MJP02RKBWINT9002;WINT9002;ANGGA SANJAYA;JABODETABEK 2;PT MITRA JAYA PERSADA;RANGKASBITUNG;;
MIX 1 PRT - BEBEN ;rangkasbitung1;AMIN 2;MJP02RKBAMIN0012;AMIN0012;ANGGA SANJAYA;JABODETABEK 2;PT MITRA JAYA PERSADA;RANGKASBITUNG;;
MIX 1 PRT - BEBEN ;rangkasbitung1;ASEP ASNADI;MJP02RKBASEP9003;ASEP9003;ANGGA SANJAYA;JABODETABEK 2;PT MITRA JAYA PERSADA;RANGKASBITUNG;;
MIX 1 PRT - BEBEN ;rangkasbitung1;AYAS;MJP02RKBAYAS9001;AYAS9001;ANGGA SANJAYA;JABODETABEK 2;PT MITRA JAYA PERSADA;RANGKASBITUNG;;
MIX 1 PRT - BEBEN ;rangkasbitung1;BEDI;MJP02RKBBEDI0001;BEDI0001;ANGGA SANJAYA;JABODETABEK 2;PT MITRA JAYA PERSADA;RANGKASBITUNG;;
MIX 1 PRT - BEBEN ;rangkasbitung1;CAH BAGUS / EDI;MJP02RKBCAHB9001;CAHB9001;ANGGA SANJAYA;JABODETABEK 2;PT MITRA JAYA PERSADA;RANGKASBITUNG;;
MIX 1 PRT - BEBEN ;rangkasbitung1;FARISH;MJP02RKBFARI9002;FARI9002;ANGGA SANJAYA;JABODETABEK 2;PT MITRA JAYA PERSADA;RANGKASBITUNG;;
MIX 1 PRT - BEBEN ;rangkasbitung1;CICI FROZEN;MJP02RKBFROZ9006;FROZ9006;ANGGA SANJAYA;JABODETABEK 2;PT MITRA JAYA PERSADA;RANGKASBITUNG;;
MIX 1 PRT - BEBEN ;rangkasbitung1;IW JAYA;MJP02RKBIWJA9001;IWJA9001;ANGGA SANJAYA;JABODETABEK 2;PT MITRA JAYA PERSADA;RANGKASBITUNG;;
MIX 1 PRT - BEBEN ;rangkasbitung1;MAJAPAHIT, TK;MJP02RKBMAJA0001;MAJA0001;ANGGA SANJAYA;JABODETABEK 2;PT MITRA JAYA PERSADA;RANGKASBITUNG;;
MIX 1 PRT - BEBEN ;rangkasbitung1;MATARAM/MICHAEL HANDRATMO;MJP02RKBMATA0002;MATA0002;ANGGA SANJAYA;JABODETABEK 2;PT MITRA JAYA PERSADA;RANGKASBITUNG;;
MIX 1 PRT - BEBEN ;rangkasbitung1;MATARAM 2;MJP02RKBMATA9002;MATA9002;ANGGA SANJAYA;JABODETABEK 2;PT MITRA JAYA PERSADA;RANGKASBITUNG;;
MIX 1 PRT - BEBEN ;rangkasbitung1;NANA / ALYCIA MARGARETA;MJP02RKBNANA9004;NANA9004;ANGGA SANJAYA;JABODETABEK 2;PT MITRA JAYA PERSADA;RANGKASBITUNG;;
